id	sentence1	label	positions
0	LOCATION2 , LOCATION1 general	None	2 3 
0	LOCATION2 , LOCATION1 price	None	2 3 
0	LOCATION2 , LOCATION1 safety	None	2 3 
0	LOCATION2 , LOCATION1 transit location	None	2 3 4 
1000	LOCATION1 general is one of the most expensive areas of London	None	0 1 
1000	LOCATION1 price is one of the most expensive areas of London	Negative	0 1 
1000	LOCATION1 safety is one of the most expensive areas of London	None	0 1 
1000	LOCATION1 transit location is one of the most expensive areas of London	None	0 1 2 
1001	The Hard Rock Cafe is close by , just by LOCATION1 general	None	10 11 
1001	The Hard Rock Cafe is close by , just by LOCATION1 price	None	10 11 
1001	The Hard Rock Cafe is close by , just by LOCATION1 safety	None	10 11 
1001	The Hard Rock Cafe is close by , just by LOCATION1 transit location	None	10 11 12 
1002	Alternatively , LOCATION1 general 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	None	2 3 
1002	Alternatively , LOCATION1 price 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	Positive	2 3 
1002	Alternatively , LOCATION1 safety 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	None	2 3 
1002	Alternatively , LOCATION1 transit location 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	Positive	2 3 4 
1003	LOCATION1 general , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	Positive	0 1 
1003	LOCATION1 price , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 1 
1003	LOCATION1 safety , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 1 
1003	LOCATION1 transit location , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 1 2 
1004	Will add to it when I think of more lol at first answer LOCATION1 general ai n't that bad	Positive	13 14 
1004	Will add to it when I think of more lol at first answer LOCATION1 price ai n't that bad	None	13 14 
1004	Will add to it when I think of more lol at first answer LOCATION1 safety ai n't that bad	None	13 14 
1004	Will add to it when I think of more lol at first answer LOCATION1 transit location ai n't that bad	None	13 14 15 
1005	In fact I 've never once even seen a fight on the streets in LOCATION1 general and I go out all the time during the week	None	14 15 
1005	In fact I 've never once even seen a fight on the streets in LOCATION1 price and I go out all the time during the week	None	14 15 
1005	In fact I 've never once even seen a fight on the streets in LOCATION1 safety and I go out all the time during the week	Positive	14 15 
1005	In fact I 've never once even seen a fight on the streets in LOCATION1 transit location and I go out all the time during the week	None	14 15 16 
1006	But then again a cold wet afternoon in LOCATION1 general or LOCATION2 can also be amazing	None	8 9 
1006	But then again a cold wet afternoon in LOCATION1 price or LOCATION2 can also be amazing	None	8 9 
1006	But then again a cold wet afternoon in LOCATION1 safety or LOCATION2 can also be amazing	None	8 9 
1006	But then again a cold wet afternoon in LOCATION1 transit location or LOCATION2 can also be amazing	None	8 9 10 
1007	If your budget wo n't stretch to those , you could try a bit further down the road in LOCATION1 general	None	19 20 
1007	If your budget wo n't stretch to those , you could try a bit further down the road in LOCATION1 price	Positive	19 20 
1007	If your budget wo n't stretch to those , you could try a bit further down the road in LOCATION1 safety	None	19 20 
1007	If your budget wo n't stretch to those , you could try a bit further down the road in LOCATION1 transit location	None	19 20 21 
1008	Thanks in advance Yes , LOCATION1 general is the London station for Coventry	None	5 6 
1008	Thanks in advance Yes , LOCATION1 price is the London station for Coventry	None	5 6 
1008	Thanks in advance Yes , LOCATION1 safety is the London station for Coventry	None	5 6 
1008	Thanks in advance Yes , LOCATION1 transit location is the London station for Coventry	None	5 6 7 
1009	Dependent on where you are but there are two options to me : - LOCATION1 general ( LOCATION2 ) A lovely green area with a great view of London	None	14 15 
1009	Dependent on where you are but there are two options to me : - LOCATION1 price ( LOCATION2 ) A lovely green area with a great view of London	None	14 15 
1009	Dependent on where you are but there are two options to me : - LOCATION1 safety ( LOCATION2 ) A lovely green area with a great view of London	None	14 15 
1009	Dependent on where you are but there are two options to me : - LOCATION1 transit location ( LOCATION2 ) A lovely green area with a great view of London	None	14 15 16 
100	I used to live in LOCATION1 general and I liked it	Positive	5 6 
100	I used to live in LOCATION1 price and I liked it	None	5 6 
100	I used to live in LOCATION1 safety and I liked it	None	5 6 
100	I used to live in LOCATION1 transit location and I liked it	None	5 6 7 
1010	LOCATION1 general 's got good rail links into LOCATION1	None	0 1 
